date_sk,data_completa,ano,mes,dia,dia_do_ano,semana_do_ano,dia_da_semana,nome_dia_da_semana,estacao
1089e2f5-560b-415d-935e-9a259b957f8a,2004-09-13,2004,9,13,257,37,2,Monday,Outono
1c6f9de4-1f28-4076-9550-4715813d473f,2004-09-27,2004,9,27,271,39,2,Monday,Outono
c765faa7-a6a2-4e57-9326-5dccb5a83072,2005-01-05,2005,1,5,5,1,4,Wednesday,Inverno
8adb36f2-a843-4c2a-b3b1-37fb215d41f0,2005-02-04,2005,2,4,35,5,6,Friday,Inverno
5752fdc8-975e-4bdc-96a0-12ff40463ea0,2005-02-11,2005,2,11,42,6,6,Friday,Inverno
203a775e-5374-4fb5-92dc-b649e8698990,2005-03-30,2005,3,30,89,13,4,Wednesday,Primavera
fb6fcead-93ef-422c-97d3-89d1b891e4fe,2005-07-27,2005,7,27,208,30,4,Wednesday,Verão
0f1341df-e71a-42a9-a6a4-4bd463dd8fae,2005-08-03,2005,8,3,215,31,4,Wednesday,Verão
d44d347e-316c-49e3-a0fa-3b7cc80f8af8,2005-11-24,2005,11,24,328,47,5,Thursday,Outono
b8006cac-bb0e-4fbb-8c66-6c5694c30f05,2005-11-26,2005,11,26,330,47,7,Saturday,Outono
ebfab6bb-5d46-454a-86d5-7f2308d26105,2005-12-08,2005,12,8,342,49,5,Thursday,Inverno
d1b70a95-277b-44d6-aaa5-da83f18172c9,2005-12-26,2005,12,26,360,52,2,Monday,Inverno
8da3ee0c-36d6-413a-91e2-8253ca0fe347,2006-03-25,2006,3,25,84,12,7,Saturday,Primavera
76c98f5b-a364-45eb-926b-efc0c78d1ff6,2006-07-17,2006,7,17,198,29,2,Monday,Verão
8743e06d-20ce-4f1f-9912-d425207ab0f7,2006-08-26,2006,8,26,238,34,7,Saturday,Verão
6fa39392-5d29-4999-a2a4-c850e14df20c,2006-10-03,2006,10,3,276,40,3,Tuesday,Outono
a43c6f6f-86df-4f72-91c8-80fb73ea208d,2006-12-16,2006,12,16,350,50,7,Saturday,Inverno
f9b9cfb7-ca28-4881-900b-57f5dec98a2d,2007-01-01,2007,1,1,1,0,2,Monday,Inverno
ecca9af5-2151-43eb-906f-6204c3c47f24,2007-01-13,2007,1,13,13,1,7,Saturday,Inverno
22bcc08f-29cd-4fe2-bb0f-d823989ec37b,2007-03-06,2007,3,6,65,9,3,Tuesday,Primavera
7a706108-4d04-4823-91b4-27db763a0d0a,2007-04-26,2007,4,26,116,16,5,Thursday,Primavera
b8dab2bf-8725-46c9-bb17-137aad01cdb4,2007-12-05,2007,12,5,339,48,4,Wednesday,Inverno
cd8e8115-2e8b-40e6-97f8-345fedcf1dad,2007-12-27,2007,12,27,361,51,5,Thursday,Inverno
a905616e-128d-4e68-a1bb-9365338acab8,2008-02-21,2008,2,21,52,7,5,Thursday,Inverno
b39d71bf-cf2a-4d49-999b-9e9b2c8c24b2,2008-04-04,2008,4,4,95,13,6,Friday,Primavera
4999f965-f8a0-4f6e-a475-ac341679a660,2008-08-25,2008,8,25,238,34,2,Monday,Verão
f3dc84a5-169e-4a5c-b64d-939028cbc409,2008-10-13,2008,10,13,287,41,2,Monday,Outono
ac596439-522b-4f5e-b4f1-23a0936b4a2f,2008-12-21,2008,12,21,356,51,1,Sunday,Inverno
805f32d6-daf7-4684-a0ba-4e7a8139e6d3,2009-01-03,2009,1,3,3,0,7,Saturday,Inverno
d15cdd99-d005-4106-8d2b-9cec38bf950c,2009-02-09,2009,2,9,40,6,2,Monday,Inverno
6b6ab8d9-15a6-4f85-9da6-bce02040b788,2009-02-17,2009,2,17,48,7,3,Tuesday,Inverno
8b193e4e-8f1e-44d8-b3c6-cc0beba173ca,2009-03-07,2009,3,7,66,9,7,Saturday,Primavera
1932d6a9-8de0-470b-b8d6-8c3c8b0502eb,2009-03-25,2009,3,25,84,12,4,Wednesday,Primavera
e06d5917-50f8-4ec9-a412-26fbca5d0402,2009-04-01,2009,4,1,91,13,4,Wednesday,Primavera
3dbf2862-f794-4457-baaf-66bd6971dd0b,2009-06-06,2009,6,6,157,22,7,Saturday,Verão
6654e666-d9c6-4566-b94a-82813afe00cf,2009-06-15,2009,6,15,166,24,2,Monday,Verão
6e5f2dea-75bc-43af-8420-965ef05ec6cf,2009-09-11,2009,9,11,254,36,6,Friday,Outono
508d2d88-d18f-4ca8-b17c-2bbed1cc8efe,2009-09-13,2009,9,13,256,37,1,Sunday,Outono
6de4dacb-ece7-4ec6-9c67-ab74ecf3c633,2009-10-23,2009,10,23,296,42,6,Friday,Outono
480f0fe1-b39c-4f8b-b197-c11fb42a6ca0,2009-10-24,2009,10,24,297,42,7,Saturday,Outono
9741a33a-1958-463a-9221-0749e85a948f,2009-12-07,2009,12,7,341,49,2,Monday,Inverno
9dc46061-85d9-49a5-9ffd-17e968803ec0,2009-12-09,2009,12,9,343,49,4,Wednesday,Inverno
74078f06-f162-43eb-b72c-6bcc54a8a4fc,2010-01-05,2010,1,5,5,1,3,Tuesday,Inverno
995459cd-02fa-44a4-ba9b-00504c1e6f40,2010-01-15,2010,1,15,15,2,6,Friday,Inverno
28b46613-27ef-4bb8-916c-45137791f540,2010-02-11,2010,2,11,42,6,5,Thursday,Inverno
0e2c0cd4-d802-41b8-b857-e34986e74559,2010-03-31,2010,3,31,90,13,4,Wednesday,Primavera
8600d570-6893-44ec-89cc-222bfb579ff9,2010-04-03,2010,4,3,93,13,7,Saturday,Primavera
65518223-6eb7-4a92-b625-5073ecc43525,2010-04-13,2010,4,13,103,15,3,Tuesday,Primavera
22bc5ada-c9d0-4f37-ab8a-76ceca26585e,2010-05-29,2010,5,29,149,21,7,Saturday,Primavera
6366960b-dcf7-403a-b57f-6d5f4ff50018,2010-08-13,2010,8,13,225,32,6,Friday,Verão
377d50d5-4c2a-4a8d-b9d7-c7a2529f581d,2010-10-01,2010,10,1,274,39,6,Friday,Outono
ae6ed484-af4e-4f55-bc68-e9e46d67bbce,2010-10-15,2010,10,15,288,41,6,Friday,Outono
cc09aae7-4885-4219-abf2-196a8fa4626b,2010-11-13,2010,11,13,317,45,7,Saturday,Outono
6901f6d9-e09c-401f-80e4-6b6ae18ef998,2011-07-05,2011,7,5,186,27,3,Tuesday,Verão
74f3ac26-2f41-426c-a7cf-6fcaefeb7bbd,2011-09-22,2011,9,22,265,38,5,Thursday,Outono
9b623dba-92d9-4e50-9a45-3bba8f0346ec,2011-11-01,2011,11,1,305,44,3,Tuesday,Outono
52642ef5-f096-4470-ba62-77aecb5052e6,2011-11-15,2011,11,15,319,46,3,Tuesday,Outono
91e6e8d8-8134-4de8-8740-9d16f4b762b3,2012-01-11,2012,1,11,11,2,4,Wednesday,Inverno
2974ae58-6c8d-4040-9469-e4093a3967d7,2012-03-15,2012,3,15,75,11,5,Thursday,Primavera
6c68a177-7756-495b-8f86-e4e4beff872c,2012-08-17,2012,8,17,230,33,6,Friday,Verão
33402962-3a1a-40f9-b0e2-b0307af7ad88,2012-09-24,2012,9,24,268,39,2,Monday,Outono
3036fd0c-ad8e-4c62-938e-1d7651f1cc55,2013-03-04,2013,3,4,63,9,2,Monday,Primavera
dd8e15c7-0e99-41a1-93a6-8e5dee913711,2013-04-22,2013,4,22,112,16,2,Monday,Primavera
7f011b7f-abcf-4d4f-b201-b63f3f855b9a,2013-05-15,2013,5,15,135,19,4,Wednesday,Primavera
fd75143e-0ec7-46f0-b811-54d33c859bd3,2013-07-25,2013,7,25,206,29,5,Thursday,Verão
01bedf2e-c6ed-4e62-977c-2a17bccc626f,2014-01-06,2014,1,6,6,1,2,Monday,Inverno
a40a676c-481f-41c3-8412-d30ee08b6966,2014-02-06,2014,2,6,37,5,5,Thursday,Inverno
5d744f13-93b2-49ec-b4ac-d0fca4edc337,2014-02-14,2014,2,14,45,6,6,Friday,Inverno
e6b26673-7b30-45a9-bb4a-bb93622febc7,2014-02-16,2014,2,16,47,7,1,Sunday,Inverno
28d926d9-a606-4a1d-b816-3d10fa404110,2014-04-06,2014,4,6,96,14,1,Sunday,Primavera
ce323d9a-3e0c-43b9-a275-926b06038ce7,2014-05-01,2014,5,1,121,17,5,Thursday,Primavera
310c5e13-7947-4bf3-b8cb-4fce4a1969dc,2014-10-19,2014,10,19,292,42,1,Sunday,Outono
a79e02bc-4496-46e7-b34d-d373028a2b01,2014-10-26,2014,10,26,299,43,1,Sunday,Outono
12b205e2-5fe1-4b9f-8b29-650b0eca9b8a,2014-11-11,2014,11,11,315,45,3,Tuesday,Outono
940154db-510a-4062-bd94-577152727928,2014-11-20,2014,11,20,324,46,5,Thursday,Outono
a47a218b-454e-4cf3-acd6-4118cded593b,2015-01-18,2015,1,18,18,3,1,Sunday,Inverno
545dfad6-75bb-4d4d-bff1-1947047e407a,2015-06-02,2015,6,2,153,22,3,Tuesday,Verão
cdaf4414-84f1-4dae-b0d6-20cca563039d,2015-07-10,2015,7,10,191,27,6,Friday,Verão
8654353b-1e3b-4212-87c7-793a0ae4d730,2015-07-13,2015,7,13,194,28,2,Monday,Verão
d29f1ec2-cb3d-4397-a0ae-cc93b35d2e07,2015-07-30,2015,7,30,211,30,5,Thursday,Verão
a273e6d5-bb1c-447d-a54a-9b3cf0f3a0e3,2015-09-15,2015,9,15,258,37,3,Tuesday,Outono
6897d960-847a-4649-8f73-e0a9d53807d9,2015-10-04,2015,10,4,277,40,1,Sunday,Outono
5d5a3304-6dc5-4fec-9d4e-7d0092f14ad0,2016-02-21,2016,2,21,52,8,1,Sunday,Inverno
7248fdd0-ba31-4c6f-93ba-892f046b0e35,2016-03-22,2016,3,22,82,12,3,Tuesday,Primavera
13d97143-e4b9-473e-8d2c-5d16c9d014ef,2016-04-30,2016,4,30,121,17,7,Saturday,Primavera
6b1ff2e1-bc16-4587-a971-453672bc4273,2016-07-27,2016,7,27,209,30,4,Wednesday,Verão
e3cfa9ac-37b7-4b3b-96a6-8f910e44ca2a,2016-09-03,2016,9,3,247,35,7,Saturday,Outono
2b21b9f4-6e59-4596-9ef2-1ec0424c9ac8,2016-12-12,2016,12,12,347,50,2,Monday,Inverno
e63e7de0-4744-4fe9-82c9-dfae2af4db9f,2016-12-16,2016,12,16,351,50,6,Friday,Inverno
8f680ccb-047c-4a19-8e1a-1b85ddcabe4f,2017-01-08,2017,1,8,8,2,1,Sunday,Inverno
139ad809-06af-4e7f-91d7-9b0fd2df69c1,2017-04-08,2017,4,8,98,14,7,Saturday,Primavera
60a14324-641c-4743-b2cf-398e1dba4524,2017-05-12,2017,5,12,132,19,6,Friday,Primavera
9af94100-071d-482b-9a95-d986af7bf225,2017-05-25,2017,5,25,145,21,5,Thursday,Primavera
44d276ef-12d1-4d9b-b295-4e1d62008e51,2017-07-11,2017,7,11,192,28,3,Tuesday,Verão
0c88d1d6-7a6d-4eda-9269-a219cb514d77,2017-09-03,2017,9,3,246,36,1,Sunday,Outono
d76f1480-685b-4606-a184-e99b589c2f31,2017-09-19,2017,9,19,262,38,3,Tuesday,Outono
f77dbe58-ca82-4c2e-8fd1-5c19907551a5,2017-10-13,2017,10,13,286,41,6,Friday,Outono
91050cbf-97e8-4b7d-bf11-56d94c594891,2017-12-11,2017,12,11,345,50,2,Monday,Inverno
367fdc21-f222-400f-993b-2159215097ac,2018-01-29,2018,1,29,29,4,2,Monday,Inverno
452d4f1b-cbb7-4d72-b601-ba2605db3e91,2018-04-03,2018,4,3,93,13,3,Tuesday,Primavera
2cacfbed-a3fe-46d7-9753-3a5266416a89,2018-05-09,2018,5,9,129,18,4,Wednesday,Primavera
1702bdff-9070-47f8-b619-04e6a40f01d0,2018-07-12,2018,7,12,193,27,5,Thursday,Verão
adf3d472-d657-4006-9ebb-8b635667459f,2018-07-25,2018,7,25,206,29,4,Wednesday,Verão
49dc6ae6-8d80-4a89-a3c3-773da4b5ae69,2018-08-04,2018,8,4,216,30,7,Saturday,Verão
4a500cb8-654e-400f-86ee-39762ca105e7,2019-01-24,2019,1,24,24,3,5,Thursday,Inverno
881a1bd0-0ff8-4b47-a5b7-3ce33a1b5b28,2019-02-26,2019,2,26,57,8,3,Tuesday,Inverno
b523e3b4-c64b-4557-a9e0-a4de6bd83c62,2019-02-28,2019,2,28,59,8,5,Thursday,Inverno
bac9c38c-a596-4bb6-891b-a1327cc55117,2019-06-03,2019,6,3,154,22,2,Monday,Verão
d38bdc1c-9a39-40e7-88a9-6a9ed93cb34e,2019-09-02,2019,9,2,245,35,2,Monday,Outono
c7a761d5-c7e5-4581-b867-61980baba3b0,2019-12-25,2019,12,25,359,51,4,Wednesday,Inverno
a4893c76-81b5-477b-8d30-a14cf4f89124,2020-01-05,2020,1,5,5,1,1,Sunday,Inverno
6939fd59-7002-4558-b7cb-cf58c1134ece,2020-01-19,2020,1,19,19,3,1,Sunday,Inverno
cf41e134-a580-4bf4-908d-1360a478c092,2020-02-05,2020,2,5,36,5,4,Wednesday,Inverno
5de297ab-b9bb-4209-9389-ce23355e5f5b,2020-02-12,2020,2,12,43,6,4,Wednesday,Inverno
a8287235-5c8c-4df0-882d-67e7c534583e,2020-02-28,2020,2,28,59,8,6,Friday,Inverno
37008fa1-31bb-4c3a-a98a-80d974b8445c,2020-03-03,2020,3,3,63,9,3,Tuesday,Primavera
4194abdf-6b37-481c-9bb0-73a9adb55864,2020-04-02,2020,4,2,93,13,5,Thursday,Primavera
a4e4610f-ad30-41a5-9064-0952b283b119,2020-05-16,2020,5,16,137,19,7,Saturday,Primavera
6fb5ebf4-b738-4add-82ca-73952736b1ab,2020-08-04,2020,8,4,217,31,3,Tuesday,Verão
22815d77-ba08-406e-a46a-2867988d1291,2020-12-03,2020,12,3,338,48,5,Thursday,Inverno
86ca770f-c9bc-4b77-9cd5-7b487e8a3719,2020-12-29,2020,12,29,364,52,3,Tuesday,Inverno
cf4ddac7-5bf5-41cb-9e2f-dced687efe53,2021-01-25,2021,1,25,25,4,2,Monday,Inverno
eb9b0e93-567e-4aff-8428-801ce94a0277,2021-01-30,2021,1,30,30,4,7,Saturday,Inverno
1f21ac8f-98c8-41c3-a83a-9e8887be8f91,2021-02-02,2021,2,2,33,5,3,Tuesday,Inverno
98ac481b-c25f-4185-880e-adc85f7508b9,2021-03-06,2021,3,6,65,9,7,Saturday,Primavera
97b3162e-be83-441f-91d2-01b8aaf463b6,2021-05-08,2021,5,8,128,18,7,Saturday,Primavera
c6a76252-99e0-4f18-ba88-32e462133b3d,2021-06-07,2021,6,7,158,23,2,Monday,Verão
546fe5e7-b455-4116-ad9d-cef7274b1fab,2021-06-29,2021,6,29,180,26,3,Tuesday,Verão
7360fec6-859f-45a9-99d8-e160c7570e28,2021-11-26,2021,11,26,330,47,6,Friday,Outono
1241d5cb-8157-47ea-9218-7125bf72ec53,2021-12-16,2021,12,16,350,50,5,Thursday,Inverno
ad8de185-bbbc-4f79-8acf-f18701613e58,2021-12-20,2021,12,20,354,51,2,Monday,Inverno
73c214c6-10a3-4815-86a0-43798b548bc6,2022-03-02,2022,3,2,61,9,4,Wednesday,Primavera
da369027-dfcf-4517-aa4b-c81e03c7697c,2022-05-30,2022,5,30,150,22,2,Monday,Primavera
6daf1de7-8f57-4ae8-832c-2351af411f7e,2022-07-29,2022,7,29,210,30,6,Friday,Verão
8afea70b-b10d-4b0c-9094-9b26c28f83c8,2022-08-16,2022,8,16,228,33,3,Tuesday,Verão
45b7f134-5f72-4053-8f16-631d3d608dc7,2022-10-16,2022,10,16,289,42,1,Sunday,Outono
71b3219a-4ccd-4bf8-8ceb-4c42b5efe6b5,2022-12-02,2022,12,2,336,48,6,Friday,Inverno
ddefb083-c082-42b1-b3f0-352686d5a22b,2023-03-20,2023,3,20,79,12,2,Monday,Primavera
5ec53977-c5f9-408c-a31c-26fe90b5d2b9,2023-04-05,2023,4,5,95,14,4,Wednesday,Primavera
10bf7473-53bd-4b99-bb33-541d10b418cd,2023-04-10,2023,4,10,100,15,2,Monday,Primavera
0f285091-fe0b-4016-b55f-78840bb9cd30,2023-04-23,2023,4,23,113,17,1,Sunday,Primavera
e5ae9867-b714-4404-a0d0-b2ce158f58fa,2023-07-20,2023,7,20,201,29,5,Thursday,Verão
74346c7b-ae5f-407a-8850-c9b683cfbf97,2023-09-24,2023,9,24,267,39,1,Sunday,Outono
854c0aab-8a37-48b0-a6f5-4efe44fb1590,2023-11-23,2023,11,23,327,47,5,Thursday,Outono
bd6da0ac-b881-4614-b69a-99995dc1e212,2023-12-10,2023,12,10,344,50,1,Sunday,Inverno
5dfac21c-5f23-4e90-bdae-a8b070c4041e,2023-12-18,2023,12,18,352,51,2,Monday,Inverno
c9fe720f-d85a-478a-b412-2845cfcbc83f,2024-03-30,2024,3,30,90,12,7,Saturday,Primavera
d2bbf888-d37a-4236-a6c2-07d6b7aea5fa,2024-04-22,2024,4,22,113,16,2,Monday,Primavera
6c2b8878-508a-4257-ab9c-824e33dfc812,2024-05-22,2024,5,22,143,20,4,Wednesday,Primavera
a1471ff1-c449-48a8-a155-1df77331147c,2024-08-21,2024,8,21,234,33,4,Wednesday,Verão
2b7b3496-6a6f-4615-b124-bad188f208e8,2024-10-08,2024,10,8,282,40,3,Tuesday,Outono
747d92f7-b05d-4b51-b254-2fc8cf334f08,2025-01-07,2025,1,7,7,1,3,Tuesday,Inverno
c663e87d-63eb-4f43-936a-06e619a4b827,2025-02-10,2025,2,10,41,6,2,Monday,Inverno
3f6650d1-ed68-47f3-92cb-4c2c7b637b05,2025-03-26,2025,3,26,85,12,4,Wednesday,Primavera
07912a9f-ad74-4acd-aae9-81693c4aa992,2025-06-15,2025,6,15,166,24,1,Sunday,Verão
bf388f84-f640-42a3-a579-38ecc7254d0d,2025-07-08,2025,7,8,189,27,3,Tuesday,Verão
3cfacb37-1d4b-41a1-bb02-acb601fbb782,2025-08-02,2025,8,2,214,30,7,Saturday,Verão
466ea918-6639-402d-817d-cf01032497c8,2025-09-03,2025,9,3,246,35,4,Wednesday,Outono
378af3b1-a53c-4db2-8ca9-9981ca327c91,2025-09-05,2025,9,5,248,35,6,Friday,Outono
f798a629-7db9-423a-a691-b41794219dce,2025-11-11,2025,11,11,315,45,3,Tuesday,Outono
911b4968-eb1e-4701-a98e-e88ccd483ec2,2026-05-14,2026,5,14,134,19,5,Thursday,Primavera
bc4e3377-8ee2-4c56-8b0a-574f1f8d4979,2026-06-06,2026,6,6,157,22,7,Saturday,Verão
3e112bb6-95cb-41eb-8979-cf423cc6c572,2026-06-11,2026,6,11,162,23,5,Thursday,Verão
207b2409-dd14-4bb0-a803-4fcd249df369,2026-07-08,2026,7,8,189,27,4,Wednesday,Verão
b3c7ef48-78db-4bbf-89c7-34945656297a,2026-07-19,2026,7,19,200,29,1,Sunday,Verão
5196596b-33bf-4834-87c8-d68b9c4d715f,2026-09-19,2026,9,19,262,37,7,Saturday,Outono
30e8b578-26e8-45d4-9149-154a844408ca,2026-12-06,2026,12,6,340,49,1,Sunday,Inverno
8b3d29a6-5cd6-4f67-9350-7934e57deddd,2026-12-23,2026,12,23,357,51,4,Wednesday,Inverno
0e2249f6-7246-441e-8208-8f41503efee7,2027-01-22,2027,1,22,22,3,6,Friday,Inverno
e232f733-8b13-4086-98cc-20f049990b0d,2027-04-26,2027,4,26,116,17,2,Monday,Primavera
174d8b94-e896-460a-bfa2-62002d052818,2027-08-08,2027,8,8,220,32,1,Sunday,Verão
60f1e2b8-e991-408b-9ea9-d77e2ba73cc6,2027-08-21,2027,8,21,233,33,7,Saturday,Verão
ebfbae1c-e4ac-48f9-961e-305bd4e6d00c,2027-09-17,2027,9,17,260,37,6,Friday,Outono
0d6ccfda-953b-4439-9eb7-6c61c709a3d1,2027-10-13,2027,10,13,286,41,4,Wednesday,Outono
a81dfd6e-a272-4176-a762-a35188ba33d2,2027-11-05,2027,11,5,309,44,6,Friday,Outono
c8119258-41f0-419c-a9c6-a16aeb0676a6,2027-12-20,2027,12,20,354,51,2,Monday,Inverno
824ad4b6-b5be-4ffa-b127-c71b5c60d77a,2028-01-10,2028,1,10,10,2,2,Monday,Inverno
c553e410-95a5-41c9-9a57-0f54da0400aa,2028-04-18,2028,4,18,109,16,3,Tuesday,Primavera
f02646a6-e8bb-41a6-872a-dc5b5cde5af7,2028-06-12,2028,6,12,164,24,2,Monday,Verão
88d36ffa-60f9-4c4d-8563-12ad9b249a2e,2028-07-09,2028,7,9,191,28,1,Sunday,Verão
1b7ad4c7-fb84-43a1-a7da-f3d7b3f213b2,2028-07-19,2028,7,19,201,29,4,Wednesday,Verão
b07c6539-9960-476d-bedd-43c6cf788dec,2028-10-03,2028,10,3,277,40,3,Tuesday,Outono
bf6fa6d7-9ee7-4770-920f-eac32a66e44d,2028-10-12,2028,10,12,286,41,5,Thursday,Outono
47d4f0e9-b90f-49fe-b61d-59d705728b8b,2028-12-18,2028,12,18,353,51,2,Monday,Inverno
3b3658a9-243e-4349-b446-76bb3d2f180e,2029-02-15,2029,2,15,46,6,5,Thursday,Inverno
3e86c3e2-771f-45a1-ae00-d1ac38bd3688,2029-05-20,2029,5,20,140,20,1,Sunday,Primavera
9dbde7de-e172-4542-b401-204ecfa08927,2029-06-30,2029,6,30,181,25,7,Saturday,Verão
a43a41aa-1f3f-4de5-8540-d4d5e8acc41b,2029-07-24,2029,7,24,205,29,3,Tuesday,Verão
de5dcb41-9f75-450a-884c-c2b7b91fbd4e,2029-10-21,2029,10,21,294,42,1,Sunday,Outono
c9ca3a50-4cfb-40a9-a7a5-8dd49a39378c,2029-11-11,2029,11,11,315,45,1,Sunday,Outono
72261872-996a-4875-b683-b543914cfca2,2030-03-16,2030,3,16,75,10,7,Saturday,Primavera
aaaf7a53-efde-4b82-b7ed-175fc1b50fd5,2030-04-11,2030,4,11,101,14,5,Thursday,Primavera
1c09f908-7f94-4222-b465-e2c5cc19da13,2030-04-13,2030,4,13,103,14,7,Saturday,Primavera
3e2f007f-be2b-4b44-9cad-7b29495ed994,2030-05-17,2030,5,17,137,19,6,Friday,Primavera
a38f8d5b-e8c9-4db9-b555-2cf8737a01d6,2030-08-03,2030,8,3,215,30,7,Saturday,Verão
008847f7-23c7-471c-8a63-1f0ed835c511,2030-08-04,2030,8,4,216,31,1,Sunday,Verão
1c3bf2e6-d17f-4459-aecf-5c279cf1ebbe,2030-11-24,2030,11,24,328,47,1,Sunday,Outono
41990828-1d3a-40dc-b959-0f640b86014c,2000-02-03,2000,2,3,34,5,5,Thursday,Inverno
4ad610ec-6b1a-4be6-ab06-c1a7b4caeda7,2000-06-20,2000,6,20,172,25,3,Tuesday,Verão
4b9b0630-d1a0-489d-971c-e9dff91dbc03,2000-08-07,2000,8,7,220,32,2,Monday,Verão
c27446a5-f917-4732-ae5d-024293b1bff9,2000-10-23,2000,10,23,297,43,2,Monday,Outono
e5876c63-98d1-420d-9d32-6b4d207eeb8f,2001-02-06,2001,2,6,37,5,3,Tuesday,Inverno
dd70419d-6a67-48be-83f1-1df2f6091d9a,2001-05-05,2001,5,5,125,17,7,Saturday,Primavera
2c65979d-cbde-48be-acd1-175a9fab633b,2001-06-10,2001,6,10,161,23,1,Sunday,Verão
4b64e1ff-9633-4481-8cf2-ac4c0fa48370,2001-06-18,2001,6,18,169,24,2,Monday,Verão
2f170be2-ddcb-41cd-af74-9017534d80d5,2001-10-21,2001,10,21,294,42,1,Sunday,Outono
d0577a47-7ca7-420f-8fdf-e9dc93006ac4,2001-11-08,2001,11,8,312,44,5,Thursday,Outono
