product_sk,product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
0e7b4dab-f382-407b-943e-0aa9a95bec16,a69f15dfb803d485e8933e80b9742c1c,relogios_presentes,53,506,6,150,11,16,6
e7561630-cec7-4df9-9a7e-9f085ae110aa,a5e242d7d26774906928c7c4aa3916bd,utilidades_domesticas,36,694,1,75,11,23,11
288ee1fd-6c0f-433e-bb8d-8ae7b2ebd8fe,ed6d2fe9a24cfdfd0f4c40094db5145b,livros_interesse_geral,23,727,1,1000,11,15,20
08d0f0be-b235-44a5-ab9d-56a99a765d4a,16d096faa27582985f849f08370cf1ed,agro_industria_e_comercio,50,1153,1,4050,11,18,10
ac80bc8d-a0ce-4e45-a6d2-5d02683e2034,0eeeb45e2f5911fd44282e5bb0c624ff,musica,58,143,1,82,12,15,15
770525a5-aaa4-4fdd-be06-bc8d855a0007,6cbe86517b670a03d810471811e93316,papelaria,51,1051,1,233,12,4,9
ae4d97b7-3851-453e-b47e-ba64969f0ff3,c170e8de4edb5424cbd56ed64c288639,telefonia,57,2417,6,915,12,12,8
14b7b5ce-9c62-483b-a164-ec02256de3b2,724ea95fdce3d1238faa891234996887,brinquedos,60,468,5,163,12,8,11
d6759f04-0282-486b-9873-6c79ed6e7207,bddc970a859e17f3f60f337ff8d72dfa,cool_stuff,63,1190,2,268,12,9,19
f6a04fed-1bb0-4027-9f7c-dc212c833757,6ebc84d95d4340324cf0cb525e495eed,perfumaria,44,355,1,120,12,9,10
b81d6b07-3959-4cfc-80c7-e00c4dc5b2e5,fd78812672eb8dd819fad93951bdbe64,beleza_saude,60,630,2,187,12,7,8
8a5d722e-db6a-4309-b0ad-47e433a050da,7c2d0df8e5fbfa71d54a400b33a8502e,beleza_saude,59,1515,1,138,12,9,18
58c760ce-02a3-4795-8cc9-9e479b812c45,0453f63a85b66c3950381599dbbfb2ec,esporte_lazer,47,1370,1,231,12,12,10
991f79aa-d914-4f2c-95c2-deb08d0ed134,106392145fca363410d287a815be6de4,cama_mesa_banho,58,309,1,2083,12,2,7
bf9f428f-8850-47ae-827e-ab41e675a581,159afb2051a2a69bcd9a594ce5ed6452,malas_acessorios,37,358,1,950,12,32,46
6f4c1540-93af-4b7d-9cca-6ec80a8c426c,e23a34276c3979415a832cbd4d043952,informatica_acessorios,46,446,1,140,12,21,12
b2a42908-f06a-4c7a-aae8-ce0004f56346,63456bc0cfe423fc6621bdd93fd0337c,informatica_acessorios,46,323,1,125,12,10,10
babb4ab9-f530-45c9-9a85-f259a6b945ef,5ae533eac9c0e93b3f89bc9aea079ed9,informatica_acessorios,58,1340,1,83,12,8,8
7c434419-57d6-4522-b368-b252d487fa5a,70559c57b5e5cfac386368f45e744f55,informatica_acessorios,51,100,1,179,12,9,13
6951b8fc-bf0c-4f4f-9115-9ca5b702665d,3ef69437b2ca2234de7ad9165bebfe43,pet_shop,37,692,6,250,13,16,16
494903e2-4f04-4eb4-af7f-0ddd0102f657,d538285bd15e067ff40beb6f988b794d,pet_shop,50,1301,3,500,13,10,10
02823ca8-6310-4ed5-9f5c-97ec9ee0cfd8,dca18a6e2fb6da75092ed874094ed7b6,telefonia,62,340,1,300,13,8,10
3deb6862-6b8e-4b33-b737-dfdd94ea5d13,a96162639da9bf8cc57b7931a5fcbd2a,telefonia,39,952,1,310,13,17,20
83da5df7-e744-4859-a830-7eb5cb5747d1,40bc6155bfab13c191f9d5a72ebe12c7,telefonia,55,2428,3,100,13,20,13
8ae17c2c-0c0f-41f7-9426-5f4441f7616e,3471ed8114d798dfbb0ed5f85349f695,cool_stuff,42,342,2,5100,13,76,41
43b8c51d-3846-4ce0-a612-ac56f637603a,f6f1acecb8770430b76a87fae1c522dc,eletronicos,47,568,2,83,13,9,11
d1b1a7b3-3742-49dc-befd-814fdc4747af,fb306b50f9757b8b49a3d45b4099d929,beleza_saude,54,525,2,95,13,9,10
13876438-054e-4edf-8df3-2baacc0d745e,b79361867edbe85462b548334d136a8a,beleza_saude,49,1773,2,125,13,7,9
d5f89d5e-6adf-4967-9fae-794ad2764eeb,f497ba62f1d6b4f6a3a3266fa8623ad3,beleza_saude,45,1276,1,83,13,8,12
58a51837-d72b-4120-851f-cc03965bd1cc,495bddc7440e227dcf4af56f47749587,beleza_saude,42,743,1,867,13,14,12
5bd53603-1032-4ee6-b822-0f8a980aecfd,471a32499c740e72816ee0d71185dafc,cama_mesa_banho,42,533,1,975,13,20,28
f5b91c3d-5adf-43d7-955c-b78fc3221c63,26644690fde745fc4654719c3904e1db,cama_mesa_banho,59,534,1,40425,13,65,28
ebc9d05f-c798-449c-bd98-31fc8a0172ec,bdce983de5f3fe3c23363b676b19dcbf,malas_acessorios,37,347,1,875,13,32,46
64dcdeed-7379-418e-ad54-3011a4b94f6e,d294bd539d8c70342149beb38b767afc,relogios_presentes,50,295,1,650,13,11,12
7d0063a3-50f0-4476-b79b-13a4987f3e6f,177f62b739076126a879238444ccbf02,relogios_presentes,58,1352,3,240,13,12,14
0a9d3073-f7c3-46e6-bb8c-3f83eb904104,d7ae40734de8ff910e5e84034b1e94f3,utilidades_domesticas,59,302,1,345,13,14,15
a153e4cf-a9d4-4b71-bf70-7b4f43ae6c3d,446e4aaabb7fbea797d25845c8ab50f4,informatica_acessorios,59,411,1,100,13,10,11
ba31face-cdea-4e12-8381-1eda8f4d4858,79be3804af052f5d6a473dfdeaa38f06,informatica_acessorios,59,164,2,50,13,9,11
3f89529a-0248-4266-adeb-e5c8c507a3c7,e38ae1121c1566bb56b728d8079b2d75,informatica_acessorios,42,226,1,275,13,13,13
b19be70f-c39d-4f5b-b725-d390a44994c6,5296c5bfef0fca38d0572263011f6e35,bebes,55,521,1,343,14,12,16
3921e478-3307-415f-8023-1d841063af9c,907c84d5b8961d53ba1b803638fffcad,pet_shop,61,1257,4,620,14,8,12
f6e67821-3146-48f7-aa96-77af50505af3,00fd6afd95fe066db8433832180a5369,telefonia,46,1654,4,299,14,11,13
84dfec6c-98cd-4da9-aa6f-278244c0d443,f09e13fe0ac1c5524c93e59ed3a4eaac,telefonia,55,1539,3,552,14,12,12
a7d6c14c-17c5-4371-ba9b-7bc8753506f8,cfa7ee31b3e91eacffe78176dc964965,telefonia,19,288,1,203,14,16,14
66cbb59c-0a9e-4ae4-930e-d2c371c9195e,1f8e6a79faf4326701aa4b07c0b955e1,telefonia,53,1586,1,538,14,10,11
0a13d0b0-392a-418b-9f9c-79ab98637862,d4a56b9816c864d22d8b40c16999208b,telefonia,56,1666,1,230,14,10,11
e2a380ca-8801-482a-bd03-f05e909c02c5,f3efd1d829b025dddc72baba33e17c19,telefonia,58,711,1,540,14,13,16
6feddf5a-cfaa-454d-bd8f-606706c4d1e1,8b52d90d2e8716dad633486c6cc94ecf,telefonia,48,504,3,408,14,16,15
2b45b02d-7662-4f3d-835d-921115e9bc02,735bc5b144baa5f37d59ebcfd20a6310,automotivo,49,706,4,104,14,10,15
f807e5dc-559d-447f-a48e-5e48c767707c,843c3f321cc992f9a1a3c6319fd568f2,automotivo,41,248,1,442,14,15,16
305a274a-2303-495b-9524-8684a87e9601,9a9f428eef4cf4c588633509b9fd1c5a,automotivo,49,640,1,1050,14,3,9
60fd7908-8873-4dd3-8dc6-b9aca479c430,7f72a8900b3d2fc8fa2635b7836d6e6e,brinquedos,38,571,1,147,14,10,12
a18d294d-30be-424c-952f-b26f1fd6d70c,acdf83e7694c8eec22e6b19bc59f4e60,cool_stuff,34,268,1,200,14,13,12
dbfec363-90fd-4f6c-ba21-81fb70b0d6cc,3abefa3ab32440bb6f5937c65c6652f8,perfumaria,39,522,2,127,14,16,12
2e4837b1-16c6-4476-bb73-d3c4d1b3b8ab,e813c8739a6a0706b764a5d4468702a6,beleza_saude,50,627,3,160,14,15,14
1ecc1370-33cf-4af7-9152-a16d5a8752ab,b6190912a554e26ca7ff517da2a3145b,beleza_saude,60,450,1,117,14,13,10
d469ae97-9368-4a3f-8ec7-a861ef1e25ec,c23b47bacd44b878e3345d06ab5664dc,beleza_saude,30,342,2,153,14,14,12
55e7e773-b1e0-44a0-b03e-318edb0d4155,bc9cc914f974963c07be697fc93037bb,beleza_saude,55,435,1,75,14,9,7
51bc8486-4d18-432f-aa29-08a185386fbc,9ab9b4cd7716f676ce8417012a107119,beleza_saude,48,1016,1,650,14,11,12
3d2a7517-a0ed-44cc-9e10-5a208834c631,c43e3279d830e4515718d56b91cfa7d8,beleza_saude,39,524,1,78,14,8,10
56b95a75-eec1-4950-9be5-36af4f32b7e1,9c5568dc227ccef3089ef6c37082a464,esporte_lazer,38,320,1,767,14,8,12
baca36ec-7adf-4d10-82b6-aa1c5913a744,48a731e170c51eecded8082b9ba71c65,esporte_lazer,60,1017,5,267,14,19,16
cf5bf641-5394-417d-a666-9bb8db6c3256,913803e9e4b81c3fed4841cbbfdc59fd,esporte_lazer,54,379,1,3650,14,16,12
468b9b62-1b77-4393-b53f-2360c82a37a3,c12f337b7701b3ed6ff08588e9bfed27,telefonia_fixa,49,1758,1,105,14,10,15
ce74dc13-e8c2-4359-833d-180a5151df91,35310457211638bcf0670da2cd8ba8be,moveis_decoracao,31,1210,8,525,14,15,19
b9b4bb9b-e64c-4b7e-9447-c99d5e903da7,693567e68c0e3d72dc3ae88159aeed6c,moveis_decoracao,54,315,1,303,14,14,28
aef2ce99-16eb-4815-b4d5-530f03b49521,a5d39bdbd8f8873a55299222206fd522,ferramentas_jardim,55,617,6,340,14,16,13
e7404d2d-e79a-4a82-bdf0-ad9df4b3c1ef,8397dc503d1a0c2ac7422701884de5a6,ferramentas_jardim,43,580,1,315,14,13,13
a7c73422-fed8-4cd1-a8a7-b728608ed5aa,cff80bb3d5c12a024ae5860a6475c472,relogios_presentes,57,612,1,278,14,9,18
ac40c80a-be4c-4a85-bb8d-5aad1b8c36f4,beb8e018882d56635b77f4a73233c847,relogios_presentes,50,945,1,213,14,9,13
6b76387d-b7bd-43e1-838c-1d1f786caad1,c80c377f9c43421aa6ed91b1259c0bf3,relogios_presentes,56,500,2,338,14,9,13
e0f78091-ca03-4513-ae78-fec73dc796aa,4d99fe6463cbc101057f59a2380bf2ba,relogios_presentes,55,407,5,375,14,8,13
3fb25e0c-02c5-4752-af03-f581947aff2c,dc5fd9c9989813f354c865854be80178,informatica_acessorios,56,388,2,125,14,11,11
a64eaefd-7516-479f-9017-cc00422747af,51546b31b0669a44f338a791d4f96ddd,informatica_acessorios,43,936,2,200,14,5,14
eb3ab7cc-7ca1-4750-9281-71e46ff578b2,68361925fcb61b3627e79dd95137ae7f,informatica_acessorios,28,1064,1,253,14,12,12
e92805b4-5179-48f3-9e04-2721c692a7f6,a2a0ecb37f7e027a81081a34fd1cce4d,informatica_acessorios,51,1040,3,470,14,17,14
28b2f3f9-5dee-4c1f-afcb-1d520f24b641,52b4432d5f2efc197d3e792329b38cec,informatica_acessorios,60,658,1,241,14,15,17
368b51f7-14dc-4c72-a8a3-4a7849abf713,6c3c95f656ad4d31b662c75b31c09f1e,livros_interesse_geral,53,1025,6,475,14,16,15
dd0798b2-25a4-47b6-b536-8873b0d61308,10953168e42bc4a9f7bb6468974cb5f8,livros_interesse_geral,56,962,1,625,14,13,14
442996c7-d5b0-46e6-a819-45c1d9a04f72,124f74f703e88efe001a10bfa718b6ff,,,,,250,15,8,20
529ea9bb-0c37-4264-9a1a-56196374857e,e0cd006cb0ccbbf5e501be0df7c1e5f4,bebes,36,80,1,195,15,11,12
4cd7e3c4-2185-4295-afff-b9563ad82551,0cf573090c66bb30ac5e53c82bdb0403,telefonia,26,108,1,128,15,8,13
ff1e0e71-9922-42e2-94db-ec35a2f0e12a,2f178dc91b792930e1ff40a77a123506,telefonia,55,588,2,369,15,13,13
6c1fd14a-3f0c-4477-a391-1618ecac6d30,6b5e28354ababa66e691a8072681427c,telefonia,39,951,1,300,15,16,18
8db6f2a2-3769-4b98-81c3-9fcce91e9e6b,dd1d87b703e4d762b3ecbb5146295361,automotivo,41,266,1,279,15,10,17
69062f48-fed6-4f9a-87f1-13fc5f493358,fdb33d3471c9183b30cea8b7b34e4880,automotivo,44,736,2,570,15,10,14
b1e03583-3637-40bb-ada6-385e1e6550d4,6978fe95a5bf7452bfef0fee43f55ce8,automotivo,51,176,2,767,15,5,10
5da96014-137c-46f0-bef0-aef0c3905411,4283bfae8ccecf22edb4cc17084aeab0,cool_stuff,40,304,1,175,15,15,11
c2df735f-add9-4337-9b9c-031f20254133,665fa52751d42dabaebad0435662fe13,cool_stuff,50,106,1,525,15,29,33
b6157c50-36f0-4e49-9901-754d4356e749,4142011fdc688f90a55e3101fcd43e2b,cool_stuff,32,567,1,203,15,15,14
238d33f7-135d-4c36-a832-3f5a43a5e247,739312eddb4431af9a760e797da4d869,cool_stuff,56,236,1,90,15,11,12
a64adfea-6691-4e32-af31-1ca7c6749144,1778cf7281a461e29e202a848bcb2a77,cool_stuff,56,2192,3,1525,15,11,15
1769ce66-c601-41d1-ae42-4c1569ebfe21,cec29a60285cd686caa31318b3ad3671,beleza_saude,47,696,1,692,15,12,14
b6598b13-676e-4ede-ba7f-f89c4ae78743,f40876e0ef3cd5f9132b1f16b04b1346,beleza_saude,42,250,1,427,15,17,14
ae535d35-1f1c-41ca-b411-33bbb8e9e17f,386eebb43722ab502f04f7900bd2451b,beleza_saude,45,2231,3,117,15,4,12
88b95998-e7da-45c8-88ec-64a6175513aa,baa1fd3231ef36f7fea009503748eab4,beleza_saude,58,418,4,400,15,13,14
80a2bd63-73b8-49f1-ab0e-d27696517f7c,564f6caa975212d645b004093145e621,esporte_lazer,55,385,1,768,15,13,13
70ebd3d2-6a86-48bf-af1c-f059fa46ad78,724108b75f8ef4c9984daac0dcadc482,esporte_lazer,56,422,1,125,15,9,16
009257f3-5d00-43b2-9ef5-444a0dee7c15,03d03978afe1dc3c70e611629e8d8fe8,esporte_lazer,35,614,1,1800,15,15,15
5f61be75-9e85-4835-addc-2a6be3e4043d,5e0a88877b8f7889949d0a7b3fc12d14,esporte_lazer,58,1112,3,770,15,10,11
3fde637d-d781-45e3-a70f-a6332107b606,4d7585daba2f8b3ed7f87447908b4237,telefonia_fixa,53,897,2,300,15,8,9
63acdd89-01b2-47f1-94fb-cf72544080eb,0efc91aa52d1f0669126d3000a94279b,cama_mesa_banho,52,111,1,2100,15,18,25
b95a0251-56cb-42bc-bbc7-04a92aabe8aa,abafccbe06074c732dceed6675d5a7ac,cama_mesa_banho,54,553,1,594,15,17,24
bd51ad1c-ea4b-47f4-a21c-07cdfb90e740,4c84f53b7bc2ec06da784fda591018b4,eletroportateis,38,297,2,2500,15,29,30
047b50f3-a823-41e0-8ac9-4ecde8915a2c,c5e19a898511a0e8b60bd98fbc1d72eb,eletroportateis,58,419,4,2150,15,38,15
c3219412-b741-4ee9-a2a3-185425309e68,8e80199142878e6d9c9ab17de67eba98,ferramentas_jardim,29,927,1,483,15,16,13
1afa1226-7299-4d43-b712-1ed5bd8a707b,f3a67aed340d9b5f218c2d177cc720e3,relogios_presentes,56,467,3,420,15,9,13
8408a364-5d20-4a62-823b-782026db7ecd,1a7864db936b730688248bda816f1ce2,relogios_presentes,41,558,2,700,15,10,13
930708e7-d4de-4a32-af43-436e823d25a6,072346978ec57ef87579ba2cea7c7030,relogios_presentes,58,846,3,275,15,19,16
868759f5-37af-4aff-848e-75eb38e8e00f,ae07626dfa269bbe4dc753edc3ce83b3,relogios_presentes,58,639,1,290,15,13,13
d315497a-e0fe-4721-aa69-cde2c4530f6b,ba01ca5c2982cedf05294014427c6afe,relogios_presentes,54,878,1,513,15,11,11
7dcd404d-c3f5-4143-9ad4-d5b0c17e5645,a87ee1e0d2b6d025ecfb1b8322659853,relogios_presentes,55,335,1,750,15,4,19
0ae4b075-2be5-4e00-9e7b-58507018c505,860ad475cebc2e85e852042dad735be0,instrumentos_musicais,47,478,1,214,15,7,13
824ab7af-ed62-429b-b35a-b8959fbf9154,80d94e8b1c573406cd537684045cc87a,utilidades_domesticas,48,1649,3,320,15,11,15
ae97c5f6-7209-4cd1-a672-de49dab170ee,d291c64bd499a6f147bffd4f5328b7aa,utilidades_domesticas,24,741,5,250,15,17,21
69514e38-3bed-4b03-bed7-69873319e8fa,541d7793096f512080b5b5c25ce3c44f,informatica_acessorios,53,479,1,300,15,5,13
801e9fd0-45fc-4764-ac07-54a3a349a9bf,a8bac9bc4001039c362db47eee5aee9a,informatica_acessorios,34,1545,2,6250,15,15,20
f9c69238-c719-4a67-9059-ab44e70f3de8,1a909e04ddbc64bda3fc905834678201,informatica_acessorios,48,475,1,213,15,7,11
441c74a2-81f8-4eb1-aebc-853f53633beb,863826c035612c8900c972a10fa3b5b1,informatica_acessorios,40,298,2,306,15,21,13
1c561b23-c2f9-466e-87b9-19389b8a55fd,b16cbe318e5c99bf0c0ffde3a92a5ff2,informatica_acessorios,58,1031,1,233,15,11,14
9cf66401-119a-43a0-9774-a7ae6bd76e61,5a286d54a7400c4a0921c6e99300d684,informatica_acessorios,36,135,2,85,15,10,15
393247a9-9d62-4e45-9ac1-a882daa8146a,e8b0fa506cda44528a15318cef8a27a0,informatica_acessorios,41,726,2,1240,15,5,9
ed746952-b6d0-4bb6-a0be-400017900b99,45448d98662daee2e5ee969475a90826,livros_interesse_geral,29,627,1,1200,15,15,19
09e68a2a-14cb-4c8c-bc28-d45098d48a5e,78bef8d05453a2ecd72281bcf2dcbcdc,livros_interesse_geral,57,1121,1,475,15,12,16
aac04356-68d5-493e-bf5b-456e4e06c1b7,4c1d9c97a7245db3b8d7a32fb4c02286,livros_interesse_geral,29,764,1,1320,15,14,17
9b3df8f8-f633-4a19-8bb7-7d344108140b,edc8415b709fb70b465f80301ad0a9fe,livros_interesse_geral,53,1258,6,640,15,21,18
f2ffa356-59bf-4574-a9f7-be4b4924f150,ead7a0750955ac63e63b8e0ade03bbc4,construcao_ferramentas_jardim,30,1445,1,1513,15,12,12
bad1bd38-025a-42b2-bc18-ab620a159cb6,0fe09f32709c79ba4bf19d43c4e49515,,,,,800,16,9,11
a75bcf87-ca6f-408d-a2bc-a900f97beb95,8def905dc2fc7ae5edb3637821a7652d,,,,,900,16,16,16
b4e913cb-9740-40b2-917c-349b896f4b25,19ac4a7de40be5bd72347162024983f2,,,,,200,16,2,20
cb41d150-32f0-42b3-a24e-ff4100b57150,94c07760f470ab9997f27d0129682eb3,,,,,450,16,20,11
cbc7e6d7-a022-4fff-b79a-60d48a1a8a0e,06ddfdf210c7e0259854ee543215088d,,,,,100,16,3,11
22e48cba-3a47-49fc-8b6b-926fe43d0dbc,b0c025bfe73a24057cb15eeab19ebdf2,,,,,400,16,9,11
26475bfc-8266-4a66-a055-e2c619f209a7,0c40401eba358c9ef2ff2df80b6eab52,,,,,500,16,15,15
75f8e153-1dbf-4c4d-a96b-1d5d8f31fbe6,7775d718fa8dfebe8015e6e5ee3dc5be,,,,,700,16,10,20
b0fa3913-8e32-402f-bbf7-54513ee42378,0b1187e2f914d9317a5632dbb7c66b82,,,,,200,16,2,11
0d1b1f66-4433-42e4-9825-60156d3b535a,a2d0ef58f86a42fa9d456709cb00c0b2,,,,,200,16,2,11
63788299-dfb2-4f32-888e-6651bad20d05,5f6ebc88683dcfc794febc8d8a8aeb0c,,,,,400,16,4,11
bab5a923-c2fa-4c92-a694-f45df93c7620,2d7bc40a076687ee0ad5b507ecafd4f3,,,,,500,16,12,11
e571f75d-f086-4d27-8ea5-ff5e231cdca3,15f773b4fea5b2ab681b02620b0c3a95,,,,,750,16,25,15
33f28033-328f-4219-9b31-c908d975b02c,8d39a63db6a98e40571f486e0c711cf7,,,,,450,16,7,11
b822e858-8630-4d06-a609-16475b0f0adb,44d53f1240d6332232e4393c06500475,,,,,200,16,12,11
55736428-4657-410c-8c57-3dc1aa2f6da1,090820212dfd8022d676e480bed6a61d,,,,,250,16,4,11
539e86bf-afda-407f-a2fa-43e0d85db7b8,f1cfcd7f3806fd98650ab8dda3b7dfea,,,,,300,16,11,12
a4695da9-b4f9-43a4-afc9-106de749e1a8,e7dceae66fa56a4b4c9d62e72945b17d,,,,,1150,16,40,15
81452302-d208-4e1b-87fd-b1f1f406cdb2,bcb815bba008d89458e428078c0b9211,,,,,150,16,2,11
1157959a-a179-4b20-8a16-a2deed7ad1de,ad88641611c35ebd59ecda07a9f17099,,,,,450,16,7,11
4c4619da-ba13-4f50-9527-a2d7021cbad0,92785d022b4e0e6b7cafc45f87a281fb,,,,,200,16,2,11
ca778f3d-7221-4698-ab59-6475640d9a23,ff6caf9340512b8bf6d2a2a6df032cfa,,,,,200,16,5,12
f825dbb1-6c55-4b69-931a-224e361bb87c,8d2ed4fec68ea93ec092cbab0e1a92b5,,,,,200,16,5,15
62942673-ae15-4a97-bad4-d201aa079ad5,71225f49be70df4297892f6a5fa62171,,,,,200,16,2,11
02dd3ca4-df48-4548-be1e-33c248ab43da,48212f0e644cd07610881a3b6e497ac4,,,,,200,16,2,11
3e4a836a-4498-4778-b6b1-4d71f08a2d9a,0ba14c257ad706bacadec65dfdb3b740,,,,,300,16,10,11
2f1354f6-e882-40ab-8d0a-d66146f918d6,4432acdc80e1b1f73f9f355f12ecd60f,,,,,200,16,2,11
9a3ec6e2-61c3-4feb-9223-69f5f58f92f6,cbe24747d52ccb72f4fd7190c41aff73,,,,,800,16,24,16
56d13f77-7c6c-4eee-989a-e2ded38ed269,45d0bf74166b507caa830564130b5ba0,,,,,200,16,2,11
b5ce91a4-9512-4ce3-84b8-dd7bbcf3a50b,3125175fa8b71940f198f68b56f992b2,,,,,200,16,2,11
eb384e03-4079-4657-9e84-75c00a50af34,db1d1a4569fdbae28a0d3340d907f7af,,,,,400,16,5,12
e82df356-11c0-4d3a-ac20-5b4c88ebf09c,96aca2f53bcaed6f466449f7fb18ae75,,,,,400,16,16,16
90cfc051-8ae9-42c6-aa96-8a17dddfc0e0,44e8945e17aef03daaecbc4bbab7f730,,,,,200,16,2,11
a08623d4-a6d8-431e-9473-469087b955aa,0b2f52bff0f8a4536a315bbdc34d8398,,,,,200,16,2,11
a7eb08ac-69d6-4c51-b4a0-d83d6855d674,c230b471b7e21ff9060e68ee154afd70,,,,,200,16,5,11
20a71524-a058-4c3f-a7f4-dbd8900682ba,76d1a1a9d21ab677a61c3ae34b1b352f,,,,,550,16,7,11
27bc6e40-a3f2-477c-b80b-a2b864029dcc,4dfb5b21cf54e026b36472ea52d67e6d,,,,,200,16,2,11
109de93c-1a2c-4508-abf5-25ff46cd8f2c,ad113e2e3b77e66ef6ecfd7386cd13ac,,,,,1700,16,36,13
955f83b4-c029-48cd-960c-45d72958d9c2,ef60a683caacd212b1cc7b356283c2de,,,,,600,16,16,16
77690872-650d-45a4-be35-8651f9a1efb0,05f581382fca988fec41f4a3de0e0fda,,,,,100,16,16,16
89577b11-c079-4850-a263-2ba2c24e3c86,d6bcc9649c52a826c656563ffb87a036,,,,,200,16,2,11
3841415f-6021-46d9-b896-a61d59ccb788,0103863bf3441460142ec23c74388e4c,,,,,200,16,2,11
0a172d9c-fcc0-48e9-966e-c70d80088378,b36f3c918c91478c4559160022d3f14e,,,,,300,16,4,11
6a5f4a8e-f9a9-44b8-b7c5-6c061cd621e9,c647d965c3bd45fa151a61dc4233b7cc,,,,,1000,16,50,12
b96a6499-adfd-4b55-b806-9d192f28863a,dd9e631c9f1f8008b90fff5170d02c2a,,,,,200,16,2,11
3e072e8f-4713-4710-9722-918c5eb5616e,39e3b9b12cd0bf8ee681bbc1c130feb5,,,,,300,16,7,11
25d82541-004f-4893-8466-6b3953c5977b,3d103df80d5d22d709244fe27bc29a8d,,,,,200,16,2,11
18d017ec-7dc2-45f4-9fe9-55f8a75360b9,83f86eca5473b6d1c7d566223592908d,,,,,200,16,2,11
854b93f6-bf78-466c-ac8d-cb5e2332c3d4,b690fe3d3dd6223b85382ccca04ffbde,,,,,300,16,8,11
81a4b2e7-4695-46a2-a2bb-e7a3f199a722,bef4997c604c1f7f307936cc0fb143c1,,,,,150,16,19,12
f23d72ca-b3b6-4cb1-a948-bbb4781700b6,60d1e2123927bc621354b0ab11cc8fd5,,,,,300,16,19,16
6ed9df7d-648c-4dec-8034-2713c056b1e9,aa52785e49f7b78b96704df4068d9e3d,,,,,250,16,8,16
ef628c13-2592-4679-9458-dbfe58f90530,690951ea8e8b7ac46921683da1b4707d,,,,,200,16,2,20
542fbc42-0842-4651-837b-9ccb924fc464,73df0070248804951b5c6ba9537c6fc3,,,,,100,16,6,11
